% date:  mmdd
% assID: short code representing an action (F1a, tkn)
% lname:  student last name or last name + initial; must be a unique ID
% grade: grade earned on assessment, or token increment
% section = M150F20 section 01
date,assID,lname,grade
1025,L2a,van-houten,S
0831,F1a,szyslak,I
1019,F1b,szyslak,S
1019,F2a,szyslak,S
1030,D1a,burns,I
0904,F1a,burns,S
0915,F2a1,burns,S
0921,F3a,burns,S
0923,L1a,burns,S
1106,D2a,burns,I
1005,L2a,burns,S
1029,F1b,flanders,I
0831,F1a,mann,S
0903,F3a,mann,S
0916,F2b1,mann,S
0916,L2a,mann,S
0922,L3a,mann,S
0916,L2b,mann,S
1009,D1a,mann,S
1019,D2a,mann,I
1019,D3a,mann,I
1026,D4a,mann,S
1030,D5a,mann,S
0916,F1a,bouvier,S
0916,F1a,bouvier,S
0916,F2b,bouvier,S
0922,F3a,bouvier,S
1011,L1a,bouvier,S
0831,F1a,bob,I
0916,F2b,bob,I
1013,F1b,bob,I
1013,F2b,bob,I
1013,F3a,bob,S
1015,L1a,bob,I
1015,L2a,bob,S
1114,D1a,leonard,S
1114,D2b,wiggum,I
1114,D2a,leonard,S
1120,D1a,brockman,S
116,D2b,gumble,S
1117,D3b,gumble,S
1115,D3a,prince,S
1202,F1a,monroe,I
1115,F2a,prince,S
1125,F2a,monroe,I
1119,F3b,wiggum,S
1129,F3a,prince,S
1125,F3a,monroe,I
1116,L1c,krabappel,S
1121,L1a,powell,S
1122,L1b,prince,S
1125,L1a,monroe,N
1120,L2b,wiggum,S
1116,L2b,krabappel,S
1121,L2b,powell,I
1122,L2b,prince,S
1202,L2a,monroe,I
1118,L3b,krabappel,S
1121,L3a,powell,S
1205,L3a,brockman,S
1129,L3b,prince,S
1115,L3b,burns,S
1128,L3a,bob,I
1125,D1b,krabappel,S
1128,D1a,powell,S
1201,D1a,bob,S
1117,L5s,gumble,S
1123,L5b,krabappel,S
1128,L5a,powell,I
1116,L5a,brockman,S
0905,F1a,lovejoy,S
0905,F1a1,lovejoy,S
0905,F3a,lovejoy,S
0916,F3a,lovejoy,S
1008,D1a,lovejoy,S
1023,D2a,lovejoy,I
1007,L1a,lovejoy,I
1007,L2a,lovejoy,S
0831,F1a,scratchy,S
0907,F1a1,scratchy,S
0907,F3a,scratchy,S
0916,L1a,scratchy,I
1006,L2a,scratchy,I
1111,F1a,skinner,I
1112,F2b1,skinner,I
1112,F3a,skinner,I
1112,F3a,smithers,I
1109,L1a,brockman,S
1111,L2b,brockman,S
1016,L3a,simpson,I
1030,L3a,gumble,S
1030,L3a,wiggum,S
1020,L3a,krabappel,I
1107,L3a,leonard,S
1018,L3a,prince,I
1025,L3a,van-houten,S
1016,L3a,burns,I
1018,L3a,bouvier,S
1017,L3a,lovejoy,I
1006,L3a,scratchy,S
1030,L4a,gumble,I
1002,L4a,clown,I
1106,L5a,gumble,I
1105,L5a,wiggum,I
1027,L5a,krabappel,I
1010,L5a,clown,I
1112,D1a,gumble,S
1112,D2a,gumble,I
1111,D2b,mann,S
1114,D2b,clown,S
1112,D3a,gumble,I
1112,D3b,mann,I
1112,D5a,wiggum,S
1114,L1b,krabappel,I
1113,L1a,skinner,I
1113,L2a,bouvier,S
1114,L5b,gumble,S
1107,L5a,leonard,S
1020,L5a,prince,S
1024,L5a,burns,S
1005,L5a,mann,S
1019,L5a,bouvier,S
1007,L5a,lovejoy,S
1113,L5b,clown,S
0914,L1a,mann,E
0801,FDS,smithers,N
0805,F2a,smithers,I
0805,F1a,smithers,I
0805,F2a,smithers,I
0905,F1a,smithers,I
0904,L1a,smithers,I
0930,F2b,smithers,S
0930,F1a,smithers,S
1004,L2,smithers,S
1004,L3,smithers,S
1004,L5,smithers,I
1102,F3a,smithers,I
1102,L1a,smithers,I
1108,L5a,smithers,I
1109,F3,smithers,I
1109,L1b,smithers,S
1109,L5,smithers,I
1109,D1a,smithers,I
1110,L5b,smithers,I
1110,D2a,smithers,I
1111,D2a,smithers,S
1111,D4a,smithers,S
1112,A2a,smithers,I
1112,F3b,smithers,I
1111,D1b,smithers,I
1111,I1a,smithers,I
1112,I3a,smithers,I
1112,A2a,smithers,I
1125,D2b,krabappel,S
1205,D2a,powell,I
1122,D2a,brockman,I
1129,D2a,prince,I
1122,D2a,van-houten,S
1123,D2b,burns,S
1129,D2a,bouvier,S
1201,D2a,bob,I
1130,D3a,krabappel,I
1205,D3a,powell,S
1127,D3a,brockman,S
1122,D3a,van-houten,S
1206,D3a,burns,S
1201,D3a,bob,I
1123,D4a,gumble,S
1130,D4a,wiggum,S
1130,D4a,krabappel,S
1206,D4a,powell,S
1202,D4a,brockman,S
1122,D4a,van-houten,S
1204,D4a,bob,N
1126,D5a,gumble,S
1201,D5a,krabappel,S
1203,D5a,brockman,S
1115,D5a,prince,S
1130,D6a,gumble,S
1201,D6a,wiggum,S
1203,D6a,krabappel,S
1202,D6a,mann,S
1207,D6a,powell,S
1202,D7a,gumble,S
1202,D7a,krabappel,I
1204,D7b,clown,S
1201,F7a,prince,S
1203,D7a,mann,S
1203,I1a,wiggum,S
1207,I1a,krabappel,S
1204,I1a,mann,I
1205,I2a,clown,I
1207,I2a,flanders,I
1207,I3a,krabappel,I
1207,I3a,mann,I
1203,A1a,gumble,I
1205,A1a,clown,S
1201,A1a,prince,I
1205,A1a,burns,S
1130,D6a,gumble,S
1201,D6a,wiggum,S
1203,D6a,krabappel,S
1202,D6a,mann,S
1208,A1a,mann,I
1204,A2a,gumble,I
1207,A2a,wiggum,I
1208,A2a,krabappel,I
1203,A2a,mann,I
1130,L4b,gumble,S
1130,L4a,wiggum,I
1208,L4a,krabappel,I
1128,L4a,powell,I
1115,L4b,clown,S
1207,L4a,monroe,I
1208,L4a,van-houten,I
1117,L4a,mann,I
1128,L4a,bob,I
1205,A3a,gumble,I
1208,A4a,gumble,S
1209,A5a,gumble,S
1204,A5a,krabappel,S
1208,D4a,monroe,N
1207,D4a,burns,S
1208,D5a,monroe,N
1209,D5a,van-houten,I
1208,D4a,bob,N
1204,L3a,monroe,N
1207,L5a,monroe,I
1208,L5a,van-houten,I
1207,D1a,monroe,N
1208,D2a,monroe,N
1208,D3a,monroe,I
1208,D6a,monroe,N
1209,D6a,van-houten,I
1208,D6a,bob,N
1208,D7a,monroe,N
1209,D7a,van-houten,I
1208,D7a,bob,I
1209,A1a,monroe,I
1209,A1b,mann,S
1209,I1a,gumble,S
1209,I1a,burns,S
1208,I1b,mann,S
1210,I2a,gumble,I
1208,I2a,krabappel,I
1208,I3a,flanders,N
1208,I5a,flanders,I
1211,F1a,zzyzwicz,I
1211,F2a,zzyzwicz,S
1211,F3a,zzyzwicz,S
1211,F3a,beardley,I
1210,D1a,bouvier,S
1210,D3b,krabappel,N
1210,D3b,bouvier,N
1210,D4a,bouvier,S
1210,D5a,burns,S
1211,D5a,bouvier,S
1211,L1a,zzyzwicz,I
1211,L1a,beardley,S
1211,D6a,bouvier,I
1210,D7a,burns,S
1210,A1b,gumble,I
1210,A1a,krabappel,I
1210,A1a,van-houten,N
1210,A2a,van-houten,N
1211,A2a,bouvier,S
1210,A3b,gumble,I
1211,A3a,wiggum,I
1211,A3a,krabappel,I
1210,A3a,van-houten,I
1211,A3a,bouvier,I
1211,A1a,zzyzwicz,N
1211,A1a,powell,S
1211,A1a,beardley,I
1211,A1a,bouvier,I
1211,A4a,krabappel,I
1211,A4a,powell,S
1210,A4a,van-houten,N
1211,A2a,powell,S
1210,A5a,van-houten,S
1211,I1a,powell,I
1211,I1a,beardley,I
1211,I1a,van-houten,I
1211,I2b,gumble,N
1211,I2a,van-houten,I
1211,I3a,gumble,N
1210,I3b,krabappel,I
1211,I3a,powell,I
1211,I3a,beardley,N
1211,I3a,van-houten,I
1211,I5a,gumble,S
1211,I5a,powell,I
1211,I5a,van-houten,I
1211,I5a,burns,S
1211,F1b,zzyzwicz,I
1211,F1a,starbeam,N
1211,F2a,starbeam,I
1211,L1b,zzyzwicz,I
1211,L1a,starbeam,I
1211,F3a,starbeam,I
1211,L3a,zzyzwicz,I
1211,L3a,beardley,S
1211,L3a,starbeam,I
1211,L2a,zzyzwicz,I
1211,L2a,beardley,I
1211,L2a,starbeam,N
1211,L4a,zzyzwicz,N
1211,L5a,zzyzwicz,N
1211,L5a,beardley,I
1211,D1a,zzyzwicz,S
1211,D1a,beardley,S
1211,D2a,zzyzwicz,N
1211,D2b,powell,I
1211,D2a,beardley,I
1211,D3a,zzyzwicz,N
1211,D3a,beardley,S
1211,D4a,zzyzwicz,S
1211,D4a,beardley,S
1211,D5a,zzyzwicz,I
1211,D7a,wiggum,S
1211,D7a,bouvier,S
1214,I1a,lovejoy,I
1214,I2a,lovejoy,I
1214,I5a,lovejoy,S
1215,A1a,bob,I
1213,A1a,lovejoy,S
1210,A2b,gumble,S
1215,A2a,bob,I
1214,A2a,lovejoy,S
1214,A3a,lovejoy,I
1214,A4a,lovejoy,N
1214,A5a,lovejoy,S
1213,D7a,lovejoy,S
1213,D3a,lovejoy,I
1213,D4a,lovejoy,S
1213,D5a,lovejoy,I
1217,A3a,bob,I
1217,A4a,bob,I
1217,A5a,bob,I
1217,A2,lovejoy,N
1217,A4,lovejoy,N
1217,I1a,bob,I
1217,I2a,bob,N
1217,I3a,bob,I
1217,I5a,bob,I
